player_id,league_id,team_id,gp,gs,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts
202335,00,0,49,10,1140,112,256,0.4375,48,136,0.352941,46,54,0.851851,47,123,170,65,21,14,36,62,318
202336,00,0,4,4,113,19,33,0.575757,0,0,0,5,11,0.454545,11,22,33,5,3,5,12,18,43
202337,00,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202338,00,0,14,0,137,27,60,0.45,0,0,0,8,13,0.615384,12,23,35,6,2,3,9,21,62
202339,00,0,48,31,1201,203,460,0.441304,36,142,0.253521,89,125,0.712,42,121,163,184,49,25,90,100,531
202340,00,0,39,39,1251,188,448,0.419642,53,170,0.311764,46,59,0.779661,29,93,122,61,46,11,56,86,475
202341,00,0,10,0,49,5,14,0.357142,2,7,0.285714,1,2,0.5,1,8,9,3,1,0,0,3,13
202344,00,0,16,1,209,19,39,0.487179,0,3,0,10,13,0.76923,21,36,57,8,3,10,4,37,48
202347,00,0,34,4,615,69,148,0.466216,29,71,0.40845,30,44,0.681818,15,61,76,28,23,2,15,60,197
202348,00,0,13,0,131,27,69,0.391304,8,27,0.296296,12,16,0.75,4,12,16,3,4,0,11,11,74
202349,00,0,24,0,432,59,134,0.440298,19,52,0.365384,20,25,0.8,6,46,52,73,11,3,23,48,157
202350,00,0,4,0,9,0,0,0,0,0,0,4,4,1,0,2,2,0,0,0,0,3,4
202351,00,0,5,0,18,2,3,0.666666,0,0,0,0,0,0,0,4,4,0,0,0,1,2,4
202354,00,0,3,1,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
202355,00,0,20,18,474,69,113,0.610619,1,1,1,41,71,0.577464,43,131,174,6,9,44,31,67,180
202356,00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
202357,00,0,7,0,77,12,27,0.444444,8,15,0.533333,9,13,0.692307,5,15,20,5,5,1,1,11,41
202361,00,0,12,8,211,18,48,0.375,1,9,0.111111,6,13,0.461538,7,20,27,13,9,4,14,7,43
202362,00,0,57,38,1741,251,560,0.448214,60,182,0.32967,71,106,0.669811,43,278,321,182,44,7,100,145,633
202365,00,0,9,6,126,16,39,0.410256,0,3,0,5,8,0.625,7,13,20,6,3,7,2,13,37
202366,00,0,2,0,8,1,4,0.25,0,0,0,0,0,0,3,1,4,0,0,0,1,0,2
202377,00,0,4,0,11,2,3,0.666666,0,0,0,2,4,0.5,1,0,1,3,1,0,1,1,6
202379,00,0,2,0,7,0,1,0,0,0,0,2,2,1,0,3,3,1,1,0,0,1,2
202388,00,0,4,0,15,2,7,0.285714,1,4,0.25,2,4,0.5,0,1,1,3,1,0,2,0,7
202389,00,0,40,25,703,92,188,0.489361,0,0,0,71,93,0.76344,72,118,190,18,13,45,50,89,255
202390,00,0,45,0,822,126,314,0.401273,48,139,0.345323,39,43,0.906976,7,82,89,43,6,2,34,74,339
202391,00,0,25,3,476,59,157,0.375796,11,51,0.215686,51,61,0.836065,10,39,49,56,11,2,37,47,180
202397,00,0,19,0,218,28,85,0.329411,3,14,0.214285,3,4,0.75,2,29,31,33,11,4,11,21,62
202419,00,0,4,0,19,1,1,1,0,0,0,2,2,1,0,5,5,0,0,2,0,3,4
202498,00,0,3,0,17,1,5,0.2,0,2,0,2,4,0.5,1,2,3,0,0,1,0,2,4
202681,00,0,70,70,2547,601,1320,0.455303,164,417,0.393285,273,309,0.883495,55,196,251,337,98,41,155,158,1639
202682,00,0,8,0,38,8,15,0.533333,3,5,0.6,2,2,1,1,2,3,4,0,1,3,0,21
202683,00,0,59,14,1031,183,356,0.514044,4,19,0.210526,80,103,0.776699,135,211,346,33,16,30,56,119,450
202684,00,0,83,70,2458,244,431,0.566125,0,1,0,162,259,0.625482,316,399,715,66,28,69,69,179,650
202685,00,0,48,41,1263,253,453,0.558498,4,14,0.285714,109,144,0.756944,135,320,455,42,21,46,83,123,619
202687,00,0,23,11,554,43,74,0.581081,0,0,0,45,78,0.576923,58,140,198,9,8,29,21,52,131
202689,00,0,31,31,1131,208,505,0.411881,68,210,0.323809,125,144,0.868055,10,107,117,150,33,14,67,69,609
202691,00,0,123,123,4569,883,1998,0.441941,374,901,0.415094,232,276,0.840579,71,415,486,272,119,66,220,336,2372
202692,00,0,22,0,406,77,197,0.390862,20,62,0.32258,46,57,0.807017,19,56,75,40,8,4,18,31,220
202693,00,0,49,22,1037,134,317,0.422712,48,130,0.36923,52,65,0.8,52,157,209,60,23,29,48,137,368
202694,00,0,56,36,1710,246,570,0.431578,106,249,0.425702,112,145,0.772413,56,245,301,79,28,16,44,172,710
202695,00,0,135,135,4790,1019,1994,0.511033,228,572,0.398601,599,710,0.843661,245,815,1060,383,240,92,253,303,2865
202696,00,0,11,10,335,77,170,0.452941,21,57,0.368421,22,27,0.814814,18,78,96,35,6,8,26,25,197
202697,00,0,79,29,1803,160,412,0.388349,82,218,0.376146,64,86,0.744186,58,219,277,74,60,25,50,166,466
202699,00,0,29,29,1064,201,433,0.464203,40,120,0.333333,74,88,0.840909,39,226,265,109,28,14,45,69,516
202700,00,0,11,4,122,24,49,0.489795,4,10,0.4,10,20,0.5,14,20,34,7,4,2,12,12,62
202702,00,0,18,11,393,61,105,0.580952,1,1,1,25,33,0.757575,40,93,133,7,12,9,19,48,148
202703,00,0,40,23,943,130,335,0.388059,61,192,0.317708,62,77,0.805194,37,169,206,43,30,24,36,87,383
202704,00,0,61,31,1645,264,568,0.464788,97,244,0.39754,92,103,0.893203,29,173,202,192,26,14,91,154,717
202705,00,0,7,0,40,3,8,0.375,0,1,0,2,2,1,1,4,5,3,0,0,3,3,8
202706,00,0,3,0,7,2,4,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4
202708,00,0,68,0,1122,110,261,0.421455,39,102,0.382352,36,46,0.782608,9,70,79,98,31,5,57,117,295
202709,00,0,82,2,1194,172,373,0.461126,26,80,0.325,60,79,0.759493,27,100,127,136,43,9,55,105,430
202710,00,0,80,77,3009,482,1090,0.442201,94,272,0.345588,418,500,0.836,119,348,467,344,128,43,150,149,1476
202711,00,0,39,25,1172,165,395,0.417721,73,196,0.372448,86,103,0.834951,20,146,166,59,34,3,53,79,489
202712,00,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202713,00,0,7,0,61,3,10,0.3,2,4,0.5,0,2,0,1,7,8,0,1,0,0,6,8
202714,00,0,30,3,394,55,144,0.381944,25,68,0.367647,25,33,0.757575,11,45,56,60,16,0,17,31,160
202718,00,0,13,13,525,93,213,0.436619,29,80,0.3625,20,29,0.689655,13,73,86,38,5,4,24,39,235
202720,00,0,13,0,48,7,15,0.466666,1,2,0.5,2,3,0.666666,6,10,16,2,2,1,0,5,17
202721,00,0,9,2,118,19,39,0.487179,4,10,0.4,10,13,0.76923,1,4,5,15,2,0,7,7,52
202722,00,0,27,2,379,31,87,0.356321,22,70,0.314285,22,29,0.75862,6,44,50,15,6,7,9,39,106
202725,00,0,4,0,25,4,9,0.444444,0,1,0,2,2,1,3,5,8,0,0,0,2,6,10
202726,00,0,9,2,102,21,45,0.466666,3,12,0.25,2,2,1,1,7,8,3,5,0,7,8,47
202729,00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202730,00,0,25,4,313,39,75,0.52,0,0,0,7,12,0.583333,26,54,80,6,11,12,7,33,85
202732,00,0,11,0,82,3,10,0.3,1,5,0.2,2,6,0.333333,0,15,15,4,1,1,4,10,9
202734,00,0,24,9,331,50,111,0.45045,11,31,0.354838,12,18,0.666666,6,26,32,21,8,2,13,25,123
202738,00,0,25,21,860,176,434,0.405529,52,172,0.302325,160,190,0.842105,8,69,77,158,20,7,78,63,564
202918,00,0,2,0,4,1,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2
202933,00,0,4,0,18,1,2,0.5,0,0,0,2,2,1,1,0,1,3,0,0,0,3,4
202952,00,0,3,0,6,1,2,0.5,0,0,0,1,5,0.2,4,0,4,0,0,0,0,0,3
202954,00,0,21,0,290,32,67,0.477611,13,28,0.464285,17,20,0.85,2,32,34,33,14,4,20,32,94
202962,00,0,6,1,60,6,9,0.666666,0,0,0,6,12,0.5,7,6,13,0,2,2,4,9,18
202970,00,0,3,0,7,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
203076,00,0,39,39,1443,383,712,0.537921,31,95,0.326315,269,321,0.838006,95,307,402,109,52,71,95,107,1066
203077,00,0,10,4,146,18,41,0.439024,2,10,0.2,10,16,0.625,10,22,32,9,1,3,9,21,48
203078,00,0,45,45,1792,383,867,0.441753,102,294,0.346938,189,228,0.828947,52,153,205,169,66,27,111,113,1057
203079,00,0,23,0,529,59,144,0.409722,21,60,0.35,22,32,0.6875,6,43,49,44,11,4,21,44,161
203080,00,0,11,0,122,13,31,0.419354,0,0,0,6,7,0.857142,10,18,28,6,5,5,5,23,32
203081,00,0,61,61,2458,501,1216,0.412006,199,539,0.369202,368,415,0.886746,43,232,275,380,72,19,191,139,1569
203082,00,0,41,11,881,121,313,0.386581,53,171,0.309941,42,56,0.75,7,85,92,29,32,15,44,81,337
203083,00,0,13,13,364,71,140,0.507142,0,2,0,27,65,0.415384,51,92,143,9,11,14,26,37,169
203084,00,0,64,56,2040,261,623,0.41894,75,211,0.35545,90,119,0.756302,97,230,327,85,42,23,61,137,687
203085,00,0,55,15,1216,157,384,0.408854,65,181,0.359116,47,65,0.723076,16,100,116,81,28,10,49,131,426
203086,00,0,28,5,355,58,105,0.55238,26,54,0.481481,6,13,0.461538,14,74,88,21,6,3,11,55,148
203087,00,0,14,0,112,22,51,0.431372,3,15,0.2,4,4,1,5,15,20,8,7,1,3,8,51
203089,00,0,14,2,271,37,69,0.536231,0,2,0,7,17,0.411764,27,45,72,10,8,17,18,24,81
203090,00,0,33,32,812,116,266,0.43609,26,90,0.288888,42,69,0.608695,61,94,155,37,33,25,30,112,300
203092,00,0,25,7,272,39,74,0.527027,0,0,0,17,23,0.73913,16,50,66,15,6,8,11,24,95
203093,00,0,25,11,574,91,208,0.4375,3,22,0.136363,42,69,0.608695,51,82,133,26,13,16,19,46,227
203095,00,0,19,19,565,77,206,0.373786,33,107,0.308411,35,45,0.777777,11,43,54,34,21,3,32,50,222
203096,00,0,10,2,162,34,80,0.425,5,13,0.384615,7,11,0.636363,19,36,55,8,1,3,11,28,80
203098,00,0,8,0,45,4,9,0.444444,2,5,0.4,0,0,0,1,4,5,3,0,0,2,4,10
203100,00,0,6,0,17,2,11,0.181818,0,2,0,4,4,1,1,3,4,2,1,0,2,1,8
203101,00,0,1,0,16,1,8,0.125,0,0,0,1,2,0.5,3,3,6,1,0,1,1,1,3
203103,00,0,12,0,60,7,19,0.368421,3,10,0.3,0,0,0,3,7,10,1,0,1,1,9,17
203104,00,0,8,0,72,5,17,0.294117,0,5,0,0,0,0,0,3,3,12,2,1,2,10,10
203105,00,0,55,4,520,70,132,0.530303,0,0,0,47,94,0.5,60,93,153,16,5,24,38,83,187
203107,00,0,16,0,96,5,19,0.263157,0,3,0,5,9,0.555555,6,8,14,9,1,0,5,8,15
203108,00,0,3,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
203109,00,0,82,61,2406,301,762,0.395013,159,471,0.337579,139,182,0.763736,59,380,439,152,76,38,66,210,900
203110,00,0,123,109,4375,540,1214,0.44481,145,461,0.314533,311,422,0.736966,219,930,1149,754,197,180,325,458,1536
203111,00,0,12,0,28,2,11,0.181818,1,3,0.333333,5,9,0.555555,0,3,3,1,0,0,1,0,10
203114,00,0,52,52,1903,349,805,0.43354,126,305,0.413114,158,187,0.844919,31,283,314,223,57,12,126,167,982
203115,00,0,24,4,492,83,212,0.391509,28,87,0.321839,27,36,0.75,21,71,92,35,7,12,24,30,221
203116,00,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203118,00,0,57,0,872,124,270,0.459259,43,128,0.335937,36,42,0.857142,38,131,169,27,15,5,29,86,327
203121,00,0,9,0,162,14,34,0.411764,9,24,0.375,6,6,1,2,18,20,11,5,0,6,10,43
